JobId, User, Release, TagSet, Status, DataSet, Dir
441 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TTJets_matchingup_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_10_04_18_47_53
441 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TTJets_scaledown_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_10_04_18_47_53
441 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TTJets_scaleup_TuneZ2star_8TeV-madgraph-tauola/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_10_04_18_47_53
450 yeshaq CMSSW_5_3_3_patch2 V17-8 Processing /MinimumBias/Run2012C-24Aug2012-v1/AOD 2012_10_09_14_26_48
451 yeshaq CMSSW_5_3_3_patch2 V17-8 Processing /MinimumBias/Run2012C-PromptReco-v2/AOD 2012_10_09_14_12_10
480 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TTJets_HadronicMGDecays_8TeV-madgraph/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_10_25_22_46_26
480 clucas CMSSW_5_3_3_patch2 V17-5 Processing /TT_8TeV-mcatnlo/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_10_25_22_46_26
502 agapitos CMSSW_5_3_3_patch2 V17-5 Processing /QCD_Pt-170to300_TuneZ2star_8TeV_pythia6_v2/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_11_29_18_30_11
502 agapitos CMSSW_5_3_3_patch2 V17-5 Processing /QCD_Pt-300to470_TuneZ2star_8TeV_pythia6_v3/Summer12_DR53X-PU_S10_START53_V7A-v1/AODSIM 2012_11_29_18_30_11
512 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /TTtoAnything_14TeV_pythia6/Summer12-PU35_POSTLS161_V12-v1/AODSIM 2013_01_08_16_58_04
518 zmeng CMSSW_6_0_1_PostLS1v2_patch3 V17-5 Processing /14TeV_T2bw_2j_600_150/Summer12-PU35_POSTLS161_V12-v1/GEN-SIM-RAW-RECO 2013_01_12_15_29_41
